country,cpi_country,gdp_country,total_tax_rate_country
France,110.05,2.71552E+12,60.7
United States,117.24,2.14277E+13,36.6
Mexico,141.54,1.25829E+12,55.1
India,180.44,2.611E+12,49.7
Spain,110.96,1.39412E+12,47
China,125.08,1.991E+13,59.2
Canada,116.76,1.73643E+12,24.5
Germany,112.85,3.84563E+12,48.8
Switzerland,99.55,7.03082E+11,28.8
Belgium,117.11,5.29607E+11,55.4
Austria,118.06,4.46315E+11,51.4
Japan,105.48,5.08177E+12,46.7
United Kingdom,119.62,2.82711E+12,30.6
Australia,119.8,1.39268E+12,47.4
Indonesia,151.18,1.11919E+12,30.1
United Arab Emirates,114.52,4.21142E+11,15.9
Russia,180.75,1.69988E+12,46.2
Chile,131.91,2.82318E+11,34
Czech Republic,116.48,2.46489E+11,46.1
Sweden,110.51,5.30833E+11,49.1
Thailand,113.27,5.4365E+11,29.5
Singapore,114.41,3.72063E+11,21
Nigeria,267.51,4.4812E+11,34.8
Israel,108.15,3.95099E+11,25.3
Italy,110.62,2.00124E+12,59.1
South Africa,158.93,3.51432E+11,29.2
Brazil,167.4,1.83976E+12,65.1
Malaysia,121.46,3.64702E+11,38.7
South Korea,115.16,2.029E+12,33.2
New Zealand,114.24,2.06929E+11,34.6
Philippines,129.61,3.76796E+11,43.1
Norway,120.27,4.03336E+11,36.2
Egypt,288.57,3.03175E+11,44.4
Denmark,110.35,3.48078E+11,23.8
Colombia,140.95,3.23803E+11,71.2
Netherlands,115.91,9.0907E+11,41.2
Poland,114.11,5.92164E+11,40.8
Ukraine,281.66,1.53781E+11,45.2
Greece,101.87,2.09853E+11,51.9
Turkey,234.44,7.54412E+11,42.3
Argentina,232.75,4.49663E+11,106.3
Georgia,133.61,17743195770,9.9
Portugal,110.62,2.37686E+11,39.8
Kazakhstan,182.75,1.80162E+11,28.4
Algeria,151.36,1.69988E+11,66.1
Vietnam,163.52,2.61921E+11,37.6
Latvia,116.86,34117202555,38.1
Finland,112.33,2.68761E+11,36.6
Luxembourg,115.09,71104919108,20.4
Cambodia,127.63,27089389787,23.1
Lebanon,130.02,53367042272,32.2
Oman,113.53,76983094928,27.4
Cyprus,102.51,24564647935,22.4
Romania,123.78,2.50077E+11,20
Qatar,115.38,1.83466E+11,11.3
Uruguay,202.92,56045912952,41.8
Nepal,188.73,30641380604,41.8
Slovakia,115.34,1.05422E+11,49.7
Morocco,111.07,1.18725E+11,45.8
Hungary,121.64,1.60967E+11,37.9
Tanzania,187.43,63177068175,43.8
Bahrain,117.59,38574069149,13.8
Peru,129.78,2.26848E+11,36.8
Armenia,129.18,13672802158,22.6